"SNF VBP Program Ranking","Footnote -- SNF VBP Program Ranking","CMS Certification Number (CCN)","Provider Name","Provider Address","City/Town","State","ZIP Code","Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Footnote -- Baseline Period: FY 2019 Risk-Standardized Readmission Rate","Performance Period: FY 2023 Risk-Standardized Readmission Rate","Footnote -- Performance Period: FY 2023 Risk-Standardized Readmission Rate","Achievement Score","Footnote -- Achievement Score","Improvement Score","Footnote -- Improvement Score","Performance Score","Footnote -- Performance Score","Incentive Payment Multiplier","Footnote -- Incentive Payment Multiplier"
3634,,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.19301,,42.21177,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",42.21177,,0.9920551245,
7099,,330103,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,0.19980,,0.24068,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,330175,GUTHRIE CORTLAND REGIONAL MEDICAL CENTER,134 HOMER AVENUE,CORTLAND,NY,13045,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.23218,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802564842,
1445,,335003,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,2000 EAST MAIN STREET,PEEKSKILL,NY,10566,0.17346,,0.18172,,69.14259,,0.00000,,69.14259,,1.0133976046,
3081,,335004,AUBURN REHABILITATION & NURSING CENTER,85 THORNTON AVENUE,AUBURN,NY,13021,0.20368,,0.19041,,48.41373,,35.45732,,48.41373,,0.9976445051,
1,,335005,BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,620 SLEEPY HOLLOW ROAD,BRIARCLIFF MANOR,NY,10510,0.19005,,0.16725,,100.00000,,90.00000,,100.00000,,1.0180656313,
606,,335006,KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,110 UTICA ROAD,CLINTON,NY,13323,0.18725,,0.17347,,88.82189,,79.17838,,88.82189,,1.0175484057,
1,,335008,ST JOHNS HEALTH CARE CORPORATION,150 HIGHLAND AVENUE,ROCHESTER,NY,14620,0.19129,,0.15622,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,335011,ST PATRICKS HOME,66 VAN CORTLANDT PARK SOUTH,BRONX,NY,10463,0.20874,,0.21965,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,335014,SCHENECTADY CENTER FOR REHABILITATION AND NURSING,526 ALTAMONT AVE,SCHENECTADY,NY,12303,0.15489,,0.15962,,100.00000,,0.00000,,100.00000,,1.0180656313,
7099,,335015,SCHERVIER NURSING CARE CENTER,2975 INDEPENDENCE AVE,BRONX,NY,10463,0.18492,,0.21120,,0.00000,,0.00000,,0.00000,,0.9802564842,
1161,,335017,BEECHTREE CENTER FOR REHABILITATION AND NURSING,318 SOUTH ALBANY STREET,ITHACA,NY,14850,0.19338,,0.17950,,74.43811,,56.68889,,74.43811,,1.0152604737,
3706,,335019,REGEIS CARE CENTER,3200 BAYCHESTER AVENUE,BRONX,NY,10475,0.19125,,0.19339,,41.30533,,0.00000,,41.30533,,0.9913190180,
1,,335020,HEBREW HOME FOR THE AGED AT RIVERDALE,5901 PALISADE AVENUE,RIVERDALE,NY,10471,0.17524,,0.16591,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,1440 PORT WASHINGTON BLVD,PORT WASHINGTON,NY,11050,0.20207,,0.22405,,0.00000,,0.00000,,0.00000,,0.9802564842,
6432,,335023,A HOLLY PATTERSON EXTENDED CARE FACILITY,875 JERUSALEM AVENUE,UNIONDALE,NY,11553,0.20447,,0.20572,,11.89372,,0.00000,,11.89372,,0.9808298637,
2557,,335024,BEACH TERRACE CARE CENTER,640 WEST BROADWAY,LONG BEACH,NY,11561,0.18217,,0.18794,,54.30559,,0.00000,,54.30559,,1.0032234780,
6481,,335027,WEST VILLAGE REHABILITATION AND NURSING CENTER,214 W HOUSTON STREET,NEW YORK,NY,10014,0.18619,,0.20591,,11.44050,,0.00000,,11.44050,,0.9807938539,
2956,,335028,THE CITADEL REHAB AND NURSING CTR AT KINGSBRIDGE,3400 -26 CANNON PLACE,BRONX,NY,10463,0.19528,,0.18984,,49.77339,,17.29508,,49.77339,,0.9989439626,
4696,,335030,MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,3356 PERRY AVENUE,BRONX,NY,10467,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.19801,,30.28492,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",30.28492,,0.9846839971,
1,,335034,WYOMING COUNTY COMMUNITY HOSPITAL S N F,400 NORTH MAIN STREET,WARSAW,NY,14569,0.18102,,0.16899,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,335040,HILAIRE REHAB & NURSING,9 HILAIRE DRIVE,HUNTINGTON,NY,11743,0.19266,,0.22454,,0.00000,,0.00000,,0.00000,,0.9802564842,
6410,,335046,NORTHERN MANOR GERIATRIC CENTER INC,199 N MIDDLETOWN ROAD,NANUET,NY,10954,0.17665,,0.20562,,12.13226,,0.00000,,12.13226,,0.9808494529,
1,,335050,MARY MANNING WALSH NURSING HOME CO INC,1339 YORK AVENUE,NEW YORK,NY,10021,0.17537,,0.14901,,100.00000,,90.00000,,100.00000,,1.0180656313,
3255,,335053,ELCOR NURSING AND REHABILITATION CENTER,48 COLONIAL DRIVE,HORSEHEADS,NY,14845,0.21493,,0.19230,,43.90538,,46.37344,,46.37344,,0.9957242062,
7099,,335056,ELDERWOOD AT AMHERST,4459 BAILEY AVE,AMHERST,NY,14226,0.20252,,0.24264,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335067,APEX REHABILITATION & CARE CENTER,78 BIRCHWOOD DR,HUNTINGTON STATION,NY,11746,0.19527,,0.21366,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,335068,CROUSE COMMUNITY CENTER INC,101 SOUTH STREET,MORRISVILLE,NY,13408,0.19615,,0.16346,,100.00000,,90.00000,,100.00000,,1.0180656313,
7099,,335070,BROOKLYN GARDENS NURSING & REHABILITATION CENTER,835 HERKIMER STREET,BROOKLYN,NY,11233,0.17568,,0.22631,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335072,ST JOSEPH'S HOSPITAL - SKILLED NURSING FACILITY,555 ST JOSEPH'S BLVD,ELMIRA,NY,14902,0.20855,,0.21530,,0.00000,,0.00000,,0.00000,,0.9802564842,
1,,335074,"PARKVIEW CARE AND REHABILITATION CENTER, INC",5353 MERRICK ROAD,MASSAPEQUA,NY,11758,0.18465,,0.17085,,100.00000,,90.00000,,100.00000,,1.0180656313,
6633,,335077,NORTHWOODS REHAB AND NURSING CENTER AT MORAVIA,7 KEELER AVENUE,MORAVIA,NY,13118,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20668,,9.60376,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",9.60376,,0.9806629555,
1,,335078,YORKTOWN REHABILITATION & NURSING CENTER,2300 CATHERINE STREET,CORTLANDT MANOR,NY,10567,0.19174,,0.16187,,100.00000,,90.00000,,100.00000,,1.0180656313,
4001,,335079,GOLD CREST CARE CENTER,2316 BRUNER AVENUE,BRONX,NY,10469,0.24637,,0.21409,,0.00000,,37.76063,,37.76063,,0.9887084848,
1856,,335080,HUDSON HILL CENTER FOR REHABILITATION & NURSING,65 ASHBURTON AVENUE,YONKERS,NY,10701,0.20878,,0.18430,,62.98834,,59.59103,,62.98834,,1.0101073352,
774,,335081,ST ANNS COMMUNITY,1500 PORTLAND AVENUE,ROCHESTER,NY,14621,0.21715,,0.17622,,82.26213,,83.45904,,83.45904,,1.0170180318,
5479,,335082,WATERVIEW HEIGHTS REHABILITATION AND NURSING CTR,425 BEACH AVENUE,ROCHESTER,NY,14612,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.20141,,22.17466,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",22.17466,,0.9822332346,
7099,,335083,BERKSHIRE NURSING & REHABILITATION CENTER,10 BERKSHIRE ROAD,WEST BABYLON,NY,11704,0.23289,,0.23882,,0.00000,,0.00000,,0.00000,,0.9802564842,
6212,,335090,ELIZABETH CHURCH MANOR NURSING HOME,863 FRONT STREET,BINGHAMTON,NY,13905,0.18729,,0.20473,,14.25523,,0.00000,,14.25523,,0.9810448843,
3243,,335091,FULTON CENTER FOR REHABILITATION AND HEALTHCARE,847 COUNTY HIGHWAY 122,GLOVERSVILLE,NY,12078,0.18517,,0.19124,,46.43387,,0.00000,,46.43387,,0.9957802717,
7099,,335092,HENRY J CARTER SKILLED NURSING FACILITY,1752 PARK AVE,MANHATTAN,NY,10035,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.21843,,0.00000,,---,"This facility had fewer than 25 eligible stays during the baseline period. Therefore, this facility did not have sufficient data to calculate a baseline period risk-standardized readmission rate or improvement score.",0.00000,,0.9802564842,
7099,,335093,PARK NURSING HOME,128 BEACH 115TH STREET,ROCKAWAY PARK,NY,11694,0.19921,,0.21377,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335096,NEW RIVERDALE REHAB AND NURSING,641 WEST 230TH ST,BRONX,NY,10463,0.21607,,0.23966,,0.00000,,0.00000,,0.00000,,0.9802564842,
2169,,335098,FINGER LAKES HEALTH,196-198 NORTH STREET,GENEVA,NY,14456,0.22861,,0.19166,,45.43202,,59.00485,,59.00485,,1.0072489082,
2636,,335100,ISABELLA GERIATRIC CENTER INC,515 AUDUBON AVENUE,NEW YORK,NY,10040,0.19060,,0.18830,,53.44686,,6.66329,,53.44686,,1.0024310203,
2510,,335103,RIVER VIEW REHABILITATION AND NURSING CARE CENTER,510 FIFTH AVENUE,OWEGO,NY,13827,0.16345,,0.18772,,54.83037,,0.00000,,54.83037,,1.0037008814,
2314,,335104,THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,5606 15TH AVE,BROOKLYN,NY,11219,0.22579,,0.19175,,45.21733,,56.99235,,56.99235,,1.0055998693,
821,,335105,JEWISH HOME OF ROCHESTER,2021 WINTON ROAD SOUTH,ROCHESTER,NY,14618,0.19571,,0.17621,,82.28598,,73.53403,,82.28598,,1.0168619049,
877,,335108,SEA VIEW HOSPITAL REHABILITATION CENTER AND HOME,460 BRIELLE AVE,STATEN ISLAND,NY,10314,0.20693,,0.17684,,80.78320,,78.46741,,80.78320,,1.0166355416,
5103,,335110,EVERGREEN COMMONS REHABILITATION AND NURSING CTR,1070 LUTHER ROAD,EAST GREENBUSH,NY,12061,0.23099,,0.21233,,0.00000,,26.04309,,26.04309,,0.9831999676,
4836,,335112,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,10570 BERGTOLD ROAD,CLARENCE,NY,14031,0.20053,,0.19855,,28.99682,,1.67791,,28.99682,,0.9841796365,
632,,335125,SPRING CREEK REHABILITATION & NURSING CARE CENTER,660 LOUISIANA AVE,BROOKLYN,NY,11239,0.16924,,0.17383,,87.96316,,0.00000,,87.96316,,1.0174805520,
1,,335127,ALICE HYDE MEDICAL CENTER,45 SIXTH STREET,MALONE,NY,12953,0.19154,,0.16299,,100.00000,,90.00000,,100.00000,,1.0180656313,
3334,,335128,ST PETERS NURSING AND REHABILITATION CENTER,301 HACKETT BLVD,ALBANY,NY,12208,0.18511,,0.19165,,45.45587,,0.00000,,45.45587,,0.9948809398,
7099,,335130,THE GRAND REHABILITATION AND NURSING AT QUEENS,157 15 19TH AVENUE,WHITESTONE,NY,11357,0.20811,,0.21669,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335131,"NEW CARLTON REHAB AND NURSING CENTER, L L C",405 CARLTON AVE,BROOKLYN,NY,11238,0.18956,,0.23636,,0.00000,,0.00000,,0.00000,,0.9802564842,
1232,,335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,271-11 76TH AVE,NEW HYDE PARK,NY,11040,0.16854,,0.18003,,73.17387,,0.00000,,73.17387,,1.0148848823,
1589,,335133,SAPPHIRE CENTER FOR REHAB & NURSING,35 15 PARSONS BLVD,FLUSHING,NY,11354,0.18387,,0.18267,,66.87649,,4.23788,,66.87649,,1.0123405982,
667,,335136,LORETTO HEALTH AND REHABILITATION CENTER,700 EAST BRIGHTON AVENUE,SYRACUSE,NY,13205,0.19722,,0.17422,,87.03287,,82.31967,,87.03287,,1.0174004778,
5044,,335139,FOREST HILLS CARE CENTER,71 44 YELLOWSTONE BLVD,FOREST HILLS,NY,11375,0.23953,,0.21781,,0.00000,,26.63875,,26.63875,,0.9833790505,
1,,335140,BELAIR CARE CENTER INC,2478 JERUSALEM AVE,BELLMORE,NY,11710,0.17789,,0.14670,,100.00000,,90.00000,,100.00000,,1.0180656313,
4352,,335141,EMERGE NURSING AND REHABILITATION AT GLEN COVE,2 MEDICAL PLAZA,GLEN COVE,NY,11542,0.21705,,0.19902,,27.87570,,34.05133,,34.05133,,0.9864649514,
722,,335142,HERITAGE PARK REHAB & SKILLED NURSING,150 PRATHER AVENUE,JAMESTOWN,NY,14701,0.19219,,0.17495,,85.29155,,75.90099,,85.29155,,1.0172301658,
3290,,335143,MEADOW PARK REHABILITATION AND HEALTH CENTER L L C,78-10 164TH STREET,FLUSHING,NY,11366,0.16658,,0.19144,,45.95680,,0.00000,,45.95680,,0.9953393778,
1,,335146,FAIRVIEW NURSING CARE CENTER INC,69 70 GRAND CENTRAL PARKWAY,FOREST HILLS,NY,11375,0.20555,,0.16722,,100.00000,,90.00000,,100.00000,,1.0180656313,
4436,,335148,THE WILLOWS AT RAMAPO REHAB AND NURSING CENTER,30 CRAGMERE ROAD,SUFFERN,NY,10901,0.17815,,0.19676,,33.26663,,0.00000,,33.26663,,0.9860541199,
6742,,335154,WATERVIEW NURSING CARE CENTER,119 15 27TH AVENUE,FLUSHING,NY,11354,0.21497,,0.20920,,0.00000,,8.08687,,8.08687,,0.9805710382,
4333,,335155,WINDSOR PARK REHAB & NURSING CENTER,212 40 HILLSIDE AVENUE,QUEENS VILLAGE,NY,11427,0.22990,,0.20672,,9.50835,,34.27482,,34.27482,,0.9865859528,
6583,,335156,SOUTH SHORE REHABILITATION AND NURSING CENTER,275 W MERRICK ROAD,FREEPORT,NY,11520,0.19970,,0.20642,,10.22396,,0.00000,,10.22396,,0.9807045936,
7099,,335158,OCEANSIDE CARE CENTER INC,2914 LINCOLN AVENUE,OCEANSIDE,NY,11572,0.20528,,0.21719,,0.00000,,0.00000,,0.00000,,0.9802564842,
5626,,335159,ROSS CENTER FOR NURSING AND REHABILITATION,839 SUFFOLK AVENUE,BRENTWOOD,NY,11717,0.20376,,0.20209,,20.55261,,0.07908,,20.55261,,0.9819155598,
1,,335160,LYNBROOK RESTORATIVE THERAPY AND NURSING,243 ATLANTIC AVENUE,LYNBROOK,NY,11563,0.18550,,0.16312,,100.00000,,90.00000,,100.00000,,1.0180656313,
4081,,335161,DALEVIEW CARE CENTER,574 FULTON STREET,EAST FARMINGDALE,NY,11735,0.23624,,0.20881,,0.00000,,36.96756,,36.96756,,0.9881863563,
5300,,335162,THE GRAND REHABILITATION AND NURSING AT SOUTH POIN,ONE LONG BEACH ROAD,ISLAND PARK,NY,11558,0.18945,,0.20067,,23.93984,,0.00000,,23.93984,,0.9826347303,
5515,,335163,OXFORD NURSING HOME,144 SO OXFORD ST,BROOKLYN,NY,11217,0.19939,,0.20154,,21.86456,,0.00000,,21.86456,,0.9821689044,
6945,,335164,HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,64 HAGER STREET,BUFFALO,NY,14208,0.18877,,0.20832,,5.69176,,0.00000,,5.69176,,0.9804508451,
7099,,335168,OCEANVIEW NURSING & REHABILITATION CARE CENTER,315 BEACH 9TH STREET,FAR ROCKAWAY,NY,11691,0.18743,,0.22237,,0.00000,,0.00000,,0.00000,,0.9802564842,
6575,,335172,COMPREHENSIVE REHAB & NURSING CTR AT WILLIAMSVILLE,147 REIST STREET,WILLIAMSVILLE,NY,14221,0.21776,,0.21056,,0.00000,,10.35836,,10.35836,,0.9807139498,
1700,,335174,COBBLE HILL HEALTH CENTER INC,380 HENRY STREET,BROOKLYN,NY,11201,0.17288,,0.18337,,65.20673,,0.00000,,65.20673,,1.0114485686,
1913,,335175,BROOKSIDE MULTICARE NURSING CENTER,7 ROUTE 25A,SMITHTOWN,NY,11787,0.15035,,0.18458,,62.32043,,0.00000,,62.32043,,1.0096680632,
7099,,335176,ROSA COPLON JEWISH HOME AND INFIRMARY,2700 NORTH FOREST ROAD,GETZVILLE,NY,14068,0.16802,,0.23635,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335178,BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,170 BUFFALO AVENUE,BROOKLYN,NY,11213,0.19284,,0.20986,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335180,"SAFIRE REHABILITATION OF NORTHTOWNS, L L C",2799 SHERIDAN DRIVE,TONAWANDA,NY,14150,0.21505,,0.22938,,0.00000,,0.00000,,0.00000,,0.9802564842,
6462,,335182,GREENFIELD HEALTH & REHAB CENTER,5949 BROADWAY,LANCASTER,NY,14086,0.16112,,0.20583,,11.63133,,0.00000,,11.63133,,0.9808088256,
4353,,335184,VAN DUYN CENTER FOR REHABILITATION AND NURSING,5075 WEST SENECA TURNPIKE,SYRACUSE,NY,13215,0.19741,,0.19644,,34.02995,,0.00000,,34.02995,,0.9864534680,
3664,,335185,CEDAR MANOR NURSING & REHABILITATION CENTER,32 CEDAR LANE,OSSINING,NY,10562,0.22737,,0.20091,,23.36735,,41.84015,,41.84015,,0.9917501956,
7099,,335187,HUDSON POINTE AT RIVERDALE CTR FOR NURSING & REHAB,3220 HENRY HUDSON PARKWAY,BRONX,NY,10463,0.20797,,0.21329,,0.00000,,0.00000,,0.00000,,0.9802564842,
5646,,335188,NEW PALTZ CENTER FOR REHABILITATION AND NURSING,1 JANSEN ROAD,NEW PALTZ,NY,12561,0.17892,,0.20218,,20.33793,,0.00000,,20.33793,,0.9818768669,
1631,,335190,JEWISH HOME OF CENTRAL NEW YORK,4101 E GENESEE ST,SYRACUSE,NY,13214,0.18036,,0.18294,,66.23244,,0.00000,,66.23244,,1.0120082422,
7099,,335196,SILVER LAKE SPECIALIZED REHAB AND CARE CENTER,275 CASTLETON AVENUE,STATEN ISLAND,NY,10301,0.21273,,0.23701,,0.00000,,0.00000,,0.00000,,0.9802564842,
1739,,335197,MONROE COMMUNITY HOSPITAL,435 EAST HENRIETTA ROAD,ROCHESTER,NY,14620,0.18422,,0.18360,,64.65810,,0.00000,,64.65810,,1.0111336395,
7099,,335199,RESORT NURSING HOME,430 BEACH 68TH STREET,ARVERNE,NY,11692,0.20133,,0.22964,,0.00000,,0.00000,,0.00000,,0.9802564842,
5047,,335201,BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,612 ALLERTON AVENUE,BRONX,NY,10467,0.16280,,0.19955,,26.61145,,0.00000,,26.61145,,0.9833706493,
1048,,335202,THE GRAND REHABILITATION AND NURSING AT BATAVIA,257 STATE ST,BATAVIA,NY,14020,0.19924,,0.17839,,77.08587,,68.51904,,77.08587,,1.0159281891,
633,,335204,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,0.18735,,0.17387,,87.86774,,76.84578,,87.86774,,1.0174726626,
6071,,335208,VALLEY VIEW MANOR NURSING HOME,40 PARK STREET,NORWICH,NY,13815,0.17252,,0.20414,,15.66260,,0.00000,,15.66260,,0.9811978533,
1845,,335210,HIGHLAND PARK REHABILITATION AND NURSING CENTER,160 SENECA ST,WELLSVILLE,NY,14895,0.17532,,0.18425,,63.10761,,0.00000,,63.10761,,1.0101840470,
1,,335211,GLENGARIFF HEALTH CARE CENTER,141 DOSORIS LANE,GLEN COVE,NY,11542,0.19462,,0.16540,,100.00000,,90.00000,,100.00000,,1.0180656313,
1541,,335212,THE VILLAGES OF ORLEANS HEALTH AND REHAB CENTER,14012 ROUTE 31,ALBION,NY,14411,0.20404,,0.18238,,67.56825,,60.31966,,67.56825,,1.0126815425,
471,,335213,MASSAPEQUA CENTER REHABILITATION & NURSING,101 LOUDEN AVE,AMITYVILLE,NY,11701,0.20036,,0.17120,,94.23668,,90.00000,,94.23668,,1.0178680710,
7099,,335214,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,2700 EASTCHESTER ROAD,BRONX,NY,10469,0.19232,,0.22810,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335218,CORTLAND PARK REHABILITATION AND NURSING CENTER,193 CLINTON AVENUE,CORTLAND,NY,13045,0.20452,,0.21994,,0.00000,,0.00000,,0.00000,,0.9802564842,
4065,,335224,"WHITE PLAINS CENTER FOR NURSING CARE, L L C",220 WEST POST ROAD,WHITE PLAINS,NY,10606,0.20210,,0.19510,,37.22635,,17.42152,,37.22635,,0.9883541832,
7099,,335225,OAK HILL REHABILITATION AND NURSING CARE CENTER,602 HUDSON ST,ITHACA,NY,14850,0.20730,,0.22298,,0.00000,,0.00000,,0.00000,,0.9802564842,
5288,,335226,VESTAL PARK REHABILITATION AND NURSING CENTER,"1501 ROUTE 26 SOUTH,",VESTAL,NY,13850,0.18987,,0.20062,,24.05910,,0.00000,,24.05910,,0.9826641448,
3837,,335227,WORKMENS CIRCLE MULTICARE CENTER,3155 GRACE AVENUE,BRONX,NY,10469,0.20686,,0.19402,,39.80254,,30.68649,,39.80254,,0.9901583101,
2802,,335228,BRIDGEWATER CENTER FOR REHAB & NURSING L L C,159 163 FRONT STREET - BOX 765,BINGHAMTON,NY,13902,0.19655,,0.18907,,51.61012,,24.13907,,51.61012,,1.0007003183,
5491,,335229,PUTNAM NURSING & REHABILITATION CENTER,404 LUDINGTONVILLE ROAD,HOLMES,NY,12531,0.18695,,0.20146,,22.05539,,0.00000,,22.05539,,0.9822082831,
7099,,335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",8533 JERICHO TPKE,WOODBURY,NY,11797,0.18287,,0.23055,,0.00000,,0.00000,,0.00000,,0.9802564842,
2527,,335232,UPPER EAST SIDE REHABILITATION AND NURSING CENTER,211 EAST 79 ST,NEW YORK,NY,10021,0.20137,,0.18779,,54.66340,,39.53919,,54.66340,,1.0035495940,
7099,,335233,COLONIAL PARK REHABILITATION AND NURSING CENTER,950 FLOYD AVENUE,ROME,NY,13440,0.19303,,0.20902,,0.00000,,0.00000,,0.00000,,0.9802564842,
6539,,335236,ROBINSON TERRACE,28652 STATE HIGHWAY 23,STAMFORD,NY,12167,0.16688,,0.20615,,10.86801,,0.00000,,10.86801,,0.9807505482,
6361,,335238,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,2 GLENMERE COVE RD,GOSHEN,NY,10924,0.21985,,0.21118,,0.00000,,12.70472,,12.70472,,0.9808983265,
7099,,335239,"CLOVE LAKES HEALTH CARE AND REHAB CENTER, INC",25 FANNING STREET,STATEN ISLAND,NY,10314,0.20934,,0.22442,,0.00000,,0.00000,,0.00000,,0.9802564842,
1005,,335243,CHESTNUT PARK REHABILITATION AND NURSING CENTER,330 CHESTNUT STREET,ONEONTA,NY,13820,0.18949,,0.17802,,77.96846,,56.63353,,77.96846,,1.0161187913,
7099,,335245,"CATON PARK REHAB AND NURSING CENTER, L L C",1312 CATON AVENUE,BROOKLYN,NY,11226,0.18947,,0.22886,,0.00000,,0.00000,,0.00000,,0.9802564842,
7099,,335248,FIELDSTON LODGE CARE CENTER,666 KAPPOCK STREET,RIVERDALE,NY,10463,0.18501,,0.21247,,0.00000,,0.00000,,0.00000,,0.9802564842,
827,,335249,CAYUGA NURSING AND REHABILITATION CENTER,1229 TRUMANSBURG ROAD,ITHACA,NY,14850,0.19897,,0.17627,,82.14286,,75.81168,,82.14286,,1.0168416689,
4897,,335250,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,199 COMMUNITY DRIVE,GREAT NECK,NY,11021,0.20486,,0.19884,,28.30506,,12.71630,,28.30506,,0.9839289214,
2101,,335252,GLENDALE HOME - SCHDY CNTY DEPT SOCIAL SERVICES,59 HETCHELTOWN ROAD,SCOTIA,NY,12302,0.17280,,0.18559,,59.91121,,0.00000,,59.91121,,1.0079486756,
749,,335253,CENTRAL PARK REHABILITATION AND NURSING CENTER,116 EAST CASTLE STREET,SYRACUSE,NY,13205,0.16742,,0.17543,,84.14657,,0.00000,,84.14657,,1.0171019190,
4679,,335254,ACADIA CENTER FOR NURSING AND REHABILITATION,1146 WOODCREST AVENUE,RIVERHEAD,NY,11901,0.22977,,0.20891,,0.00000,,30.42197,,30.42197,,0.9847406390,
1,,335256,THE PINES AT CATSKILL CENTER FOR NURSING & REHAB,154 JEFFERSON HEIGHTS,CATSKILL,NY,12414,0.18103,,0.15739,,100.00000,,90.00000,,100.00000,,1.0180656313,
2807,,335257,FORT TRYON CENTER FOR REHABILITATION AND NURSING,801 W 190TH ST,NEW YORK,NY,10040,0.21378,,0.18953,,50.51285,,51.52681,,51.52681,,1.0006209842,
1,,335259,WATERVIEW HILLS REHABILITATION AND NURSING CENTER,537 ROUTE 22,PURDY STATION,NY,10578,0.22002,,0.15352,,100.00000,,90.00000,,100.00000,,1.0180656313,
1,,335261,THE PARAMOUNT AT SOMERS REHAB AND NURSING CENTER,ROUTE 100,SOMERS,NY,10589,0.17594,,0.16622,,100.00000,,90.00000,,100.00000,,1.0180656313,
4464,,335263,CHURCH HOME OF THE PROTESTANT EPISCOPAL CHURCH,505 MT HOPE AVENUE,ROCHESTER,NY,14620,0.18309,,0.19688,,32.98039,,0.00000,,32.98039,,0.9859096259,
7099,,335265,VAN RENSSELAER MANOR,85 BLOOMINGROVE DRIVE,TROY,NY,12180,0.17076,,0.21182,,0.00000,,0.00000,,0.00000,,0.9802564842,
565,,335266,"WOODCREST REHAB & RESIDENTIAL H C CENTER, L L C",119 09 26TH AVENUE,FLUSHING,NY,11354,0.22785,,0.17303,,89.87146,,90.00000,,90.00000,,1.0176328459,
1,,335267,ELDERWOOD OF UIHLEIN AT LAKE PLACID,185 OLD MILITARY ROAD,LAKE PLACID,NY,12946,0.17433,,0.16923,,100.00000,,90.00000,,100.00000,,1.0180656313,
1725,,335269,THE WARTBURG HOME,BRADLEY AVENUE,MOUNT VERNON,NY,10552,0.22411,,0.18693,,56.71482,,64.84783,,64.84783,,1.0112437886,
6853,,335271,DUMONT CENTER FOR REHABILITATION AND NURSING CARE,676 PELHAM ROAD,NEW ROCHELLE,NY,10805,0.23944,,0.23134,,0.00000,,6.81447,,6.81447,,0.9805037087,
